行标签,求和项:time
Detection-2ModelGetPbb,554.61637
Detection-2ModelPredict,54375.52141
Detection-Concat,0.06277
Detection-Dbscan,6562.54619
Detection-GeneratePatches,4006.27396
Detection-PrepareLoader,0.0771
Detection-Relocate,1.44746
Detection-SplitPatches,0.10149
LungLeaf-FissurePreproc,765.86686
LungLeaf-FissureSegmentation,765.86686
LungLeaf-FissureSegmentation-MergeResult,34.73444
LungLeaf-FissureSegmentation-PatchPrediction,8352.14695
LungLeaf-FissureSegmentation-SlidingWindow,8538.46859
LungLeaf-PostProcessingAndDetection,9190.21417
LungSeg-LungSegPrediction,36.50971
LungSeg-StageOneLungSegPrediction,71.81086
PostProcess-AirwayModel,272.8451
PostProcess-DensityClassification,1528.6836
PostProcess-FpAreaCheck,705.09976
PostProcess-MaliClassification,3587.09377
PostProcess-NoduleSegmentation,20944.94184
Preprocess-Cpp,23434.92205
Preprocess-Python,10662.70921
(空白),
总计,154392.5605
