serid,type,time
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Preprocess-Cpp,57.81984
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Preprocess-Python,21.66763
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-PrepareLoader,0.00036
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-GeneratePatches,3.44189
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-SplitPatches,0.00022
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-2ModelPredict,88.37069
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-2ModelGetPbb,1.84464
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Concat,0.00028
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Dbscan,14.85669
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,Detection-Relocate,0.00385
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-AirwayModel,1.47732
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00069
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00161
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00215
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00093
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00106
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00093
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00106
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00091
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00119
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,Preprocess-Cpp,129.47160
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00093
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00158
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00129
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00168
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,PostProcess-FpAreaCheck,0.00129
